0x00793C  值得紀念的第一次戰鬥，是在這達雷西昂的城寨嗎？
0x00C6FE  雖然說這是德涅西亞那個老頭的老故事了。
0x00C726  當他一個人被圍困在城砦中……
0x00C744  在精神將近失常時拼命地做出來的，
0x00C766  就是這些訓練用的石像。
0x00C782  雖然說這些石像並不會反擊，
0x00C79E  但的確是有一些力量被封印在裡面。
0x00C7C0  唉呀，雖然我是不知道這故事有多少分真實性啦……
0x00C7F0  不過至少那不是普通的謊話而已，這是我這個過來人的經驗
0x00C82A  作戰目的就是破壞所有的石像。
0x00C848  就是這樣而已。
0x00C858  沒有限制時間。
0x00C868  不過，當然是越快越好。
0x00C880  不過呢，要快就是最困難的一點。
0x00C8A0  裡面有對物理防禦力高的、也有對魔法防禦力強的，
0x00C8D0  更有兩種攻擊都對他沒有太大作用的。
0x00C8F8  總之，就是有各式各樣的石像。
0x00C916  好好地去做出一些成果吧。
0x00C930  以上，傑萊特•羅弗利報告完畢。
0x00C956  ０１請在這裡紀錄
0x00C9A4  ０１請在這裡紀錄
0x00C9F2  ０１請在這裡紀錄
0x00CA40  ０１請在這裡紀錄
0x00CA88  這裡是儲藏了久遠以來歷史資料紀錄的大圖書館。
0x00CAB6  這裡也許可以發現一些失傳已久的技術吧。
0x00CADE  但我們只知道……現在那擁擠的混沌已將這知識之源給淹沒
0x00CB14  了的事實。
0x00CB24  心中要一直警戒著，現在已經進入了「匍伏蔓延而來之物」
0x00CB5A  的領域……
0x00CB66  希望能儘快擊潰這些怪物。
0x00CB80  作戰目的是要到達大圖書館的最下層。
0x00CBA4  時間限制是１個小時。
0x00CBBA  每一層要分配多少時間戰鬥，
0x00CBD6  不是一兩次就可以掌握得很好的。
0x00CBF6  多挑戰幾次應該會對任務完成有所幫助。
0x00CC1C  在「匍伏蔓延而來之物」之中，
0x00CC3A  身為中心領導的個體應該不多。
0x00CC5C  先打倒組成戰力核心的那一小部分敵人，
0x00CC82  應該會對戰局有所幫助。
0x00CC9A  以上，是我薛莉爾•崔諾瓦所要傳達給你們的訊息。
0x00CCD0  ０１請在這裡紀錄
0x00CD1E  ０１請在這裡紀錄
0x00CD6C  ０１請在這裡紀錄
0x00CDBA  ０１請在這裡紀錄
0x00CE08  ０１請在這裡紀錄
0x00CE56  ０１請在這裡紀錄
0x00CEA4  ０１請在這裡紀錄
0x00CEF2  ０１請在這裡紀錄
0x00CF40  ０１請在這裡紀錄
0x00CF8E  ０１請在這裡紀錄
0x00CFDC  ０１請在這裡紀錄
0x00D02A  ０１請在這裡紀錄
0x00D072  潛伏在夏朧心中的混沌，非驅除不可。
0x00D096  當我們深入那少女的心中的時候，
0x00D0B6  如果無法體會與包容她的思念的話，
0x00D0D8  我們就將變成蹂躪這可憐少女內心的人……
0x00D104  純潔之盾之長呀。
0x00D116  懇請您驅散這位少女心中那充滿災禍的咒語吧。
0x00D142  那束縛少女內心的鎖鏈需要解開。
0x00D162  進入了她的內心之後，
0x00D178  應該自然就可以發現那必須打倒的敵人了吧。
0x00D1A2  無論如何，我們都不可以在裡面待太久。
0x00D1C8  ３０分鐘應該就是極限了。
0x00D1E2  蠶食著夏朧內心的混沌，不知道會以什麼樣的形態顯現。
0x00D216  雖然如此，我相信她的心中還有一絲絲希望存在……
0x00D246  還有，也會有想要被拯救的思念存在吧。
0x00D270  如果我們能夠發現那份思念，
0x00D28C  並且也將我們的力量合而為一的話，
0x00D2AE  應該就可以發現一點勝機了吧。
0x00D2D0  雖然這樣有一些僭越，我羅沙麗亞•奧笛納還是向您提出建
0x00D312  ０１請在這裡紀錄
0x00D360  ０１請在這裡紀錄
0x00D3AE  ０１請在這裡紀錄
0x00D3FC  ０１請在這裡紀錄
0x00D44A  ０１請在這裡紀錄
0x00D498  ０１請在這裡紀錄
0x00D4AA  ０２卡
0x00D4E8  ０１請在這裡紀錄
0x00D536  ０１請在這裡紀錄
0x00D57E  在這狂風沉眠的大地上，阻止「雙頭龍」迪布羅瑪的復活。
0x00D5B4  或者該說是要阻止那寄生在混沌與古老的力量之上的，
0x00D5E6  黑衣施咒者的企圖。
0x00D5FA  這次的作戰目的應該是要打倒迪布羅瑪或是黑衣施咒者。
0x00D62E  沒有太多的時間可以讓我們猶豫。
0x00D64E  我希望在三十分鐘之內就解決他。
0x00D66E  在巴雷歐斯荒原的地下，有著放出蒼藍聖光的障壁。
0x00D69E  如果能有效運用的話，應該會對戰局有利。
0x00D6C6  以上，是我瑟希莉絲•芬諾忒想要傳達給您的訊息。
0x00D6F6  終於也到了最後的戰役了嗎。
0x00D712  回想起來……
0x00D720  過去曾經有不安、有期待、也有令人雀躍不已的事情。
0x00D752  如果能夠這樣有始有終地完成一切，
0x00D774  這將會是多麼美好的回憶呀。
0x00D790  懇請各位好好地努力吧。
0x00D7A8  為了消滅愛爾梅納斯生命法燈，毀滅之王即將降臨。
0x00D7D8  但如果我們對愛爾梅納斯的思念比「匍伏蔓延而來之物」還
0x00D80E  要強烈。
0x00D818  但如果我們對愛爾梅納斯的思念比黑衣施咒者還要強烈。
0x00D850  那麼，我們一定可以驅散所有的混沌。
0x00D874  就算到了最後，也不要放棄呀。
0x00D892  就戰鬥到自己的力量耗盡為止吧。
0x00D8B2  在這戰鬥之後，會啟程旅行的人應該也有不少。
0x00D8E2  為了成為一個賢者，
0x00D8F6  就讓敵人看看你們最後的意志力吧，
0x00D918  賭上你們所擁有的一切。
0x00D930  除了全力去戰鬥之外，我想也沒有什麼別的事情要做了。
0x00D964  以上的這些，就是我最後的報告。
0x00D984  我德涅西亞•露弗鐸可勞以這個時刻為榮。
0x00D9AC  那麼，就這樣了。
0x00D9C4  ０１請在這裡紀錄
0x00DA12  ０１請在這裡紀錄
0x00DA60  ０１請在這裡紀錄
0x00DAAE  ０１請在這裡紀錄
0x00DAFC  ０１請在這裡紀錄
0x00DB4A  ０１請在這裡紀錄
0x00DB98  ０１請在這裡紀錄
0x00DBE6  ０１請在這裡紀錄
0x00DC2E  走進深闇的迷宮中。
0x00DC42  雖然此行十分危險，但成果也會相對地非常豐厚。
0x00DC70  當然，「匍伏蔓延而來之物」的抵抗也將會是壓倒性地強悍
0x00DCAA  關於這一點，希望你們能有所覺悟。
0x00DCCC  只要能夠到達迷宮的最下層就算完成任務。
0x00DCF4  至於最下層是地下第幾層，這還是個未知數。
0x00DD1E  沒有時間限制。
0x00DD2E  盡力戰鬥到自己所能支撐的最後一分一秒。
0x00DD56  唯一能確定的，就是敵人會陸陸續續地蜂擁而出。
0x00DD84  每個通往下一層的出口，都會被身為鎖鑰的石像給封印住。
0x00DDBA  請確實破壞每一個石像，儘快朝下一層迷宮前進吧。
0x00DDEA  以上，傑萊特•羅弗利說明完畢。
0x00DE10  ０１請在這裡紀錄
0x00DE5E  ０１請在這裡紀錄
0x00DEAC  ０１請在這裡紀錄
0x00DEFA  ０１請在這裡紀錄
0x00DF42  概要【５０】
0x00DF50  ０１請在這裡紀錄
0x00DF9E  ０１請在這裡紀錄
0x00DFEC  ０１請在這裡紀錄
0x00E03A  ０１請在這裡紀錄
0x00E082  ★★★★★★★★★★★★★★★★★★★★★★★★★
0x00E0B6  這個任務目前還沒有實裝
0x00E0CE  ★★★★★★★★★★★★★★★★★★★★★★★★★
0x00E106  這是為了玩到現在為止，都覺得要達成作戰目的是很困難
0x00E13A  的玩家所設計的簡單任務。
0x00E158  在這個任務中，將教會玩家對付怎樣的敵人時，應該以什
0x00E18C  麼職業的角色來應戰，另外從實戰應用的角度來引導玩家
0x00E1C0  怎麼使用技能。
0x00E1D6  ０１請在這裡紀錄
0x00E224  ０１請在這裡紀錄
0x00E272  ０１請在這裡紀錄
0x00E2C0  ０１請在這裡紀錄
0x00E30E  ０１請在這裡紀錄
0x00E35C  ０１請在這裡紀錄
0x00E3AA  ０１請在這裡紀錄
0x00E3F8  ０１請在這裡紀錄
0x00E446  ０１請在這裡紀錄
0x00E494  ０１請在這裡紀錄
0x00E4E2  ０１請在這裡紀錄
0x00E530  ０１請在這裡紀錄
0x00E57E  ０１請在這裡紀錄
0x00E5CC  ０１請在這裡紀錄
0x00E61A  ０１請在這裡紀錄
0x00E668  ０１請在這裡紀錄
0x00E6B6  ０１請在這裡紀錄
0x00E704  ０１請在這裡紀錄
0x00E752  ０１請在這裡紀錄
0x00E7A0  ０１請在這裡紀錄
0x00E7EE  ０１請在這裡紀錄
0x00E83C  ０１請在這裡紀錄
0x00E88A  ０１請在這裡紀錄
0x00E8D8  ０１請在這裡紀錄
0x00E926  ０１請在這裡紀錄
0x00E974  ０１請在這裡紀錄
0x00E9C2  ０１請在這裡紀錄
0x00EA10  ０１請在這裡紀錄
0x00EA5E  ０１請在這裡紀錄
0x00EAAC  ０１請在這裡紀錄
0x00EAFA  ０１請在這裡紀錄
0x00EB48  ０１請在這裡紀錄
0x00EB96  ０１請在這裡紀錄
0x00EBE4  ０１請在這裡紀錄
0x00EC32  ０１請在這裡紀錄
0x00EC7A  概要【６０】
0x00EC88  ０１請在這裡紀錄
0x00ECD6  ０１請在這裡紀錄
0x00ED24  ０１請在這裡紀錄
0x00ED72  ０１請在這裡紀錄
0x00EDC0  ０１請在這裡紀錄
0x00EE0E  ０１請在這裡紀錄
0x00EE5C  ０１請在這裡紀錄
0x00EEAA  ０１請在這裡紀錄
0x00EEF8  ０１請在這裡紀錄
0x00EF46  ０１請在這裡紀錄
0x00EF94  ０１請在這裡紀錄
0x00EFE2  ０１請在這裡紀錄
0x00F030  ０１請在這裡紀錄
0x00F07E  ０１請在這裡紀錄
0x00F0CC  ０１請在這裡紀錄
0x00F11A  ０１請在這裡紀錄
0x00F168  ０１請在這裡紀錄
0x00F1B6  ０１請在這裡紀錄
0x00F204  ０１請在這裡紀錄
0x00F252  ０１請在這裡紀錄
0x00F2A0  ０１請在這裡紀錄
0x00F2EE  ０１請在這裡紀錄
0x00F33C  ０１請在這裡紀錄
0x00F38A  ０１請在這裡紀錄
0x00F3D8  ０１請在這裡紀錄
0x00F426  ０１請在這裡紀錄
0x00F474  ０１請在這裡紀錄
0x00F4C2  ０１請在這裡紀錄
0x00F510  ０１請在這裡紀錄
0x00F55E  ０１請在這裡紀錄
0x00F5AC  ０１請在這裡紀錄
0x00F5FA  ０１請在這裡紀錄
0x00F648  ０１請在這裡紀錄
0x00F696  ０１請在這裡紀錄
0x00F6E4  ０１請在這裡紀錄
0x00F732  ０１請在這裡紀錄
0x00F780  ０１請在這裡紀錄
0x00F7CE  ０１請在這裡紀錄
0x00F81C  ０１請在這裡紀錄
0x00F86A  ０１請在這裡紀錄
0x00F8B2  概要【７０】
0x00F8C0  ０１請在這裡紀錄
0x00F90E  ０１請在這裡紀錄
0x00F95C  ０１請在這裡紀錄
0x00F9AA  ０１請在這裡紀錄
0x00F9F8  ０１請在這裡紀錄
0x00FA46  ０１請在這裡紀錄
0x00FA94  ０１請在這裡紀錄
0x00FAE2  ０１請在這裡紀錄
0x00FB30  ０１請在這裡紀錄
0x00FB7E  ０１請在這裡紀錄
0x00FBCC  ０１請在這裡紀錄
0x00FC1A  ０１請在這裡紀錄
0x00FC68  ０１請在這裡紀錄
0x00FCB6  ０１請在這裡紀錄
0x00FD04  ０１請在這裡紀錄
0x00FD52  ０１請在這裡紀錄
0x00FDA0  ０１請在這裡紀錄
0x00FDEE  ０１請在這裡紀錄
0x00FE3C  ０１請在這裡紀錄
0x00FE8A  ０１請在這裡紀錄
0x00FED8  ０１請在這裡紀錄
0x00FF26  ０１請在這裡紀錄
0x00FF74  ０１請在這裡紀錄
0x00FFC2  ０１請在這裡紀錄
0x010010  ０１請在這裡紀錄
0x01005E  ０１請在這裡紀錄
0x0100AC  ０１請在這裡紀錄
0x0100FA  ０１請在這裡紀錄
0x010148  ０１請在這裡紀錄
0x010196  ０１請在這裡紀錄
0x0101E4  ０１請在這裡紀錄
0x010232  ０１請在這裡紀錄
0x010280  ０１請在這裡紀錄
0x0102CE  ０１請在這裡紀錄
0x01031C  ０１請在這裡紀錄
0x01036A  ０１請在這裡紀錄
0x0103B8  ０１請在這裡紀錄
0x010406  ０１請在這裡紀錄
0x010454  ０１請在這裡紀錄
0x0104A2  ０１請在這裡紀錄
0x0104EA  概要【８０】
0x0104F8  ０１請在這裡紀錄
0x010546  ０１請在這裡紀錄
0x010594  ０１請在這裡紀錄
0x0105E2  ０１請在這裡紀錄
