; MAPPOS0401.YBC  len=0x1e76  [ADV YBC]
000350:             17 TEXT                     adv=6   #122 "　"
000356:             17 TEXT                     adv=6   #123 "散佈著大大小小湖泊的水鄉瑟拉。"
00035c:             17 TEXT                     adv=6   #124 "這裡，除了可以在湖中遊覽之外，也可以進行垂釣、灑網、操船、水中行軍等等教學。"
000362:             17 TEXT                     adv=6   #125 "對孩子們來說，算是數一數二受歡迎的戶外教學地點了。"
000368:             18 TEXTINDEX                adv=4   
00036c:             17 TEXT                     adv=6   #126 "達洛瓦納濕原"
000372:             17 TEXT                     adv=6   #127 "　"
000378:             17 TEXT                     adv=6   #128 "在這裡有著複雜的生態系統，同時充滿著精靈的力量，這一切，本身就是良好的教材，同時也是一個鳥類的聖地。"
00037e:             17 TEXT                     adv=6   #129 "呼喚著小石頭的名字、為還屹立著的樹木取名，在潺潺水聲中尋找精靈的話語……"
000384:             17 TEXT                     adv=6   #130 "聽說那些敏感的孩子們可以在這裡感受到不少大人們所無法感受到的事物。"
00038a:             18 TEXTINDEX                adv=4   
00038e:             17 TEXT                     adv=6   #131 "落星丘"
000394:             17 TEXT                     adv=6   #132 "　"
00039a:             17 TEXT                     adv=6   #133 "在這裡，彷彿伸出手指就可以碰觸到那星光的閃爍……"
0003a0:             17 TEXT                     adv=6   #134 "仰望這樣的夜色，孩子們就可以了解到對黑闇的敬畏以及光明的虛幻了吧。"
0003a6:             17 TEXT                     adv=6   #135 "從古到今，將此地視為一個教學環節而來訪的學級，不曾中斷。"
0003ac:            145 TACTGETUNITPOS           adv=4   
0003b0:             27 BORDONWAIT               adv=0   
; (164 insns)
